,L,max_stay_counter,m,n,quench,struc_count,ITC
330,6,6,0.2,1.7,0.8,69.88,233.3036415
331,6,6,0.2,1.7,1,89.32,230.3301003
332,6,6,0.2,1.7,2,77.28,228.450965
333,6,6,0.2,1.8,0.1,74.12,231.4592476
334,6,6,0.2,1.8,0.2,87.8,231.1825172
335,6,6,0.2,1.8,0.3,75.56,231.3262403
336,6,6,0.2,1.8,0.4,76.7,230.7338629
337,6,6,0.2,1.8,0.5,75.58,229.7646158
338,6,6,0.2,1.8,0.65,80.24,230.372596
339,6,6,0.2,1.8,0.8,82.74,232.134676
340,6,6,0.2,1.8,1,81.78,228.0640582
341,6,6,0.2,1.8,2,85.2,227.9730544
342,6,6,0.2,1.9,0.1,78.06,230.4217605
343,6,6,0.2,1.9,0.2,80.6,235.5285894
344,6,6,0.2,1.9,0.3,77.34,231.0363906
345,6,6,0.2,1.9,0.4,79.56,229.7176962
346,6,6,0.2,1.9,0.5,76.02,231.8554281
347,6,6,0.2,1.9,0.65,80.46,232.7710522
348,6,6,0.2,1.9,0.8,70.92,233.0410542
349,6,6,0.2,1.9,1,75.94,230.436128
350,6,6,0.2,1.9,2,79.74,231.2614642
351,6,6,0.2,2,0.1,77.26,231.5889253
352,6,6,0.2,2,0.2,79.94,230.4409906
353,6,6,0.2,2,0.3,79.3,232.2816176
354,6,6,0.2,2,0.4,74.22,232.3299074
355,6,6,0.2,2,0.5,76.44,232.2959566
356,6,6,0.2,2,0.65,84,229.4703258
357,6,6,0.2,2,0.8,76.64,231.1170617
358,6,6,0.2,2,1,77.06,230.6678698
359,6,6,0.2,2,2,78.54,228.3221464
360,6,6,0.5,0.1,0.1,79.68,229.1620758
361,6,6,0.5,0.1,0.2,81.08,229.0215014
362,6,6,0.5,0.1,0.3,81.86,228.3509153
363,6,6,0.5,0.1,0.4,83.3,232.0544516
364,6,6,0.5,0.1,0.5,77.1,229.4997225
365,6,6,0.5,0.1,0.65,81.18,226.3554582
366,6,6,0.5,0.1,0.8,82.56,226.5110124
367,6,6,0.5,0.1,1,84.6,226.6405145
368,6,6,0.5,0.1,2,40,230.7398578
369,6,6,0.5,0.2,0.1,72.72,231.1152006
370,6,6,0.5,0.2,0.2,87.94,230.600023
371,6,6,0.5,0.2,0.3,81.34,228.6979672
372,6,6,0.5,0.2,0.4,83.54,225.8525382
373,6,6,0.5,0.2,0.5,81.24,228.4468157
374,6,6,0.5,0.2,0.65,90.2,229.5867764
375,6,6,0.5,0.2,0.8,84.14,225.3639117
376,6,6,0.5,0.2,1,88.5,222.118763
377,6,6,0.5,0.2,2,41.96,230.7690538
378,6,6,0.5,0.3,0.1,77.34,229.434682
379,6,6,0.5,0.3,0.2,78.12,231.3296703
380,6,6,0.5,0.3,0.3,79.4,232.0446254
381,6,6,0.5,0.3,0.4,82.56,232.451121
382,6,6,0.5,0.3,0.5,79.24,228.8376257
383,6,6,0.5,0.3,0.65,77.48,228.0187326
384,6,6,0.5,0.3,0.8,80.56,229.1862025
385,6,6,0.5,0.3,1,77.8,227.167667
386,6,6,0.5,0.3,2,46.88,228.6355193
387,6,6,0.5,0.4,0.1,75.48,234.3536547
388,6,6,0.5,0.4,0.2,77.76,231.6386769
389,6,6,0.5,0.4,0.3,83.94,231.556102
390,6,6,0.5,0.4,0.4,80.36,229.9681256
391,6,6,0.5,0.4,0.5,82.04,229.2099514
392,6,6,0.5,0.4,0.65,77.28,231.3485858
393,6,6,0.5,0.4,0.8,83.38,230.6534067
394,6,6,0.5,0.4,1,86.7,224.5622838
395,6,6,0.5,0.4,2,50.32,230.2612921
396,6,6,0.5,0.5,0.1,82.98,230.151688
397,6,6,0.5,0.5,0.2,80.22,231.300418
398,6,6,0.5,0.5,0.3,79.74,229.239315
399,6,6,0.5,0.5,0.4,82.72,228.3664767
400,6,6,0.5,0.5,0.5,84.46,230.0556683
401,6,6,0.5,0.5,0.65,80.44,228.2548895
402,6,6,0.5,0.5,0.8,84.6,228.5268468
403,6,6,0.5,0.5,1,83.5,223.6058869
